	class_count	expression_avg	happy_avg	stu_count	tea_id	tags
276	16	319.75	0.063868937	5	30076070	[]
277	41	324.3414634	0.062645169	23	26054796	[]
278	6	229.3333333	0.143867642	4	35071231	[]
281	13	235.2307692	0.047993282	7	1279334	[]
282	17	219.1764706	0.039655436	9	29510893	[]
283	18	170.3333333	0.074318355	4	12676264	[]
286	9	264.5555556	0.056212082	8	29919082	[]
288	7	193.7142857	0.031736263	4	5433462	[]
289	13	258.5384615	0.101961902	8	22218522	[]
292	19	244.6315789	0.049627967	10	35302172	[]
293	21	235.9047619	0.068273179	8	3001432	[]
294	8	383.625	0.054100401	4	13030996	[]
296	10	212.2	0.095513808	6	28649410	[]
299	6	250.3333333	0.092601749	5	36847516	[]
301	11	229.4545455	0.063334037	6	7100128	[]
302	9	153.2222222	0.100012541	4	6145937	[]
303	12	320.3333333	0.086450674	8	21428154	[]
305	36	312.0277778	0.086138367	16	9741093	[]
306	6	281.6666667	0.145992133	4	4806177	[]
310	10	323.8	0.079026705	7	10629869	[]
312	22	269.4545455	0.056690087	14	22032290	[]
316	25	321.4	0.100192009	19	31297547	[]
322	15	392.6666667	0.075689358	9	30330416	[]
323	15	185.6666667	0.062095856	6	34624775	[]
324	6	188.6666667	0.041867884	4	33550636	[]
325	7	202.4285714	0.128668636	5	12194913	[]
327	13	153.7692308	0.084720023	6	13258339	[]
330	10	370	0.098243135	5	15981098	[]
334	11	377.4545455	0.118462431	6	35931788	[]
335	24	242.7083333	0.044829572	6	5738333	[]
336	9	198.1111111	0.027993151	4	29372334	[]
337	10	172.4	0.0167248	4	30270009	['enhance_happyness']
339	14	221.7142857	0.09338013	9	31244928	[]
340	12	248.25	0.088929737	5	15635055	[]
341	6	212	0.11329118	5	5794860	[]
343	12	273.5833333	0.226379603	10	23805156	[]
344	21	380.3809524	0.049751988	9	30120693	[]
345	25	265.2	0.043739792	13	34388498	[]
346	15	269.3333333	0.107214244	8	24907715	[]
347	9	109.4444444	0.071032274	9	24493212	['enhance_expression']
349	13	192.2307692	0.07968067	6	11910494	[]
351	6	232.3333333	0.09566668	5	37133870	[]
353	12	366.0833333	0.07363236	9	17640407	[]
354	19	235.2105263	0.098684611	10	36470380	[]
356	14	229.2857143	0.084014535	11	28364187	[]
359	11	200.6363636	0.092488581	5	35114146	[]
361	24	287.9583333	0.088371136	16	33905522	[]
362	29	340.8275862	0.077841782	14	29425273	[]
365	22	310.5454545	0.041674635	16	10709847	[]
367	26	286.3076923	0.055009621	12	13423768	[]
374	20	220.6	0.082917623	9	7903867	[]
375	14	326.7857143	0.124226645	12	15210099	[]
376	23	250.4782609	0.058923861	10	23925024	[]
381	8	177.375	0.081870248	6	15482419	[]
383	15	221.5333333	0.133664244	10	37669730	[]
384	11	240.6363636	0.064267834	6	35199837	[]
385	15	272.9333333	0.106918125	12	35507331	[]
386	24	224.4166667	0.108827576	12	36247254	[]
387	25	198.92	0.056979757	6	13267131	[]
389	22	210.7727273	0.042679754	8	30233767	[]
390	15	221.2666667	0.086553136	4	13287558	[]
393	15	232.8666667	0.075648392	8	2007433	[]
395	15	221.0666667	0.072463767	6	17387714	[]
396	6	206.3333333	0.051078486	5	27686339	[]
399	14	195.9285714	0.04230383	9	28796600	[]
400	13	361.4615385	0.113201127	6	18968905	[]
402	13	232.2307692	0.107660119	9	34333940	[]
